address,contract_name,time_taken,true_count,iteration
0x404ae50fcd850249102581df74913f3134247656,FFLOKI,17757,17,5
0x419cef153e8a6086df494e7832c18fd82a738efc,TSUKASHIBA,94769,89,8
0x4245acecd4eef3ae8fbfe09939c9b63595887063,TokenMintERC20Token,510689,85,10
0x4333993025af6475b86e18e3ef8b371bb5966ec8,TokenMintERC20Token,137474,134,10
0x43b0bc65935a59ec7d6ce15e6d3112691a8e1dd9,TokenMintERC20Token,794821,131,11
0x44cbef5623732816c875e042fc7541a62c592896,Fud,1041390,86,11
0x4612de7d9914550dc8a296c8cc780918cd50b0bf,Later,14678,19,4
0x46c8bc609290ec216541b7dc0b5d065cdc99ddf4,FAITH,17365,17,5
0x478f8f729d607ad83af58adf3508a63423e3c840,TokenMintERC20Token,17725,17,5
0x4791d897b977c6f45eff8bf659179490427733e6,DickButt,88002,65,8
0x47d920a911cb9a0ad4618698ba3fef800abc868d,TokenMintERC20Token,1377663,157,12
0x48cd2a4947aa70251654312a2cbfa99663560cbd,CodeWithJoe,53446,175,6
0x490e3f4af13e1616ec97a8c6600c1061a8d0253e,TERRAN,5930,27,1
0x49c9e30aaaed066edd4a90c81cf8f232f61a29f0,TokenMintERC20Token,111471,65,8
0x4a22a69e45ab29f9f7276b0267797474daf1f27c,SuniToken,85201,166,9
0x4a4cc88232b5cefdfca33908f01c8a1f2817a30e,STOCToken,86308,170,7
0x4a9d711100aff9a444a3c40284f70269bb3f0487,Chellit,5677,27,1
0x4aff7f92c77fd0f51fefb03064aa1edb292aaa2e,KingShibaInnu,168159,188,7
0x4c6719bf85903d18c295da44216f862b01b36f43,AlloHash,77087,188,7
0x4c88868fb696ab8c19cdd06517dca60ae1e9ec3c,TokenMintERC20Token,14670,17,4
0x4d5d3170f407cacaaa328660c2ee2499055e3b07,Token,79159,122,7
0x4dd981f0f2e7934b6b50c9d1beda2b5456924df6,TokenMintERC20Token,659992,133,8
0x4de9622458d05abcaf3970b9369eb50b6d2b4018,SENDit,46570,166,7
0x50544034f0f717b5a3c86cb3937b154401350b9a,TokenMintERC20Token,102641,72,8
0x509ed91b94972adc72bf7a7b326cfa6ba6378e7e,LilShiba,399958,87,11
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,795365,73,12
0x5183633579015b296f1dd86b0f12a628f8eac66f,LimitMax,70701,182,6
0x51fa8077fdd878ccce56912c3cb7fb9a87d0eeaa,CodeWithJoe,86364,196,8
0x52ba20ec24e585f90745ccdfb7abce265c677854,TokenMintERC20Token,140400,81,10
0x52cfb503789e67f89dddd0fe13e34058eddc8aff,ChickenorEGG,17681,17,5
0x544d31cb6470fe93f38f9247159dd0a416194937,RKTv1,39991,154,6
0x5450f8e9f5b6de436c0653ba9c9bf46a50cf3540,TetherUSD,99272,153,8
0x54eea4fd7321ee84178d41364aa7770897073a6e,TokenMintERC20Token,19097,17,5
0x55186e18d999eb4f99d7bdbf7b754bd55f03e1c6,XMAS,17846,19,5
0x5617402ef91a7845a68c0d092f737bccae3e99d8,ShibRussia,16499,66,5
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,106242,197,9
0x56779592815d1d9298d5c88fc64413b1eaaf00dc,CodeWithJoe,43072,128,7
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,921765,71,11
0x582e4b2543a2647b1d7fb79bb6b45115a6c91b71,TokenMintERC20Token,17629,17,5
0x58d208b574415e275989764c7398488b7ce78e72,TokenMintERC20Token,14609,17,4
0x5918e2d37a7e6472527a9dc2997aef795cb8c9c7,SenpaiERC20Token,117178,82,9
0x5a8e7804543ebbaf0fac75cd961512461d16ad89,TokenERC20Token,14991,19,4
0x5d70e6e2c0c2a728cd187f6b1dce47234b8e22f1,ApuCoin,80681,206,7
0x5e0e7db26759f58c1790c608364ef01482e95f31,BlackCock,87375,184,8
0x5e5948c6a1c48b5b6a19852928af3b72e974ef8d,BigBabyInu,617398,385,11
0x5ed617cc34b075ab96d08f24e16811567a37f129,WeAreEarly,17458,17,5
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,1104871,67,12
0x6034644917193c23360549bfbd503691d5aaaa68,WhiteHokkaido,780226,157,11
0x60784895892f9bf9a275aa64b98381ee9a627a00,TokenMintERC20Token,16991,15,4
0x6131240e5202a3a18f4bb1b6326720f6c9141ddc,TokenMintERC20Token,230399,62,9
0x617b0e7d37b5cd55ad584c7e806a71c64ecc2a28,TokenMintERC20Token,1249499,66,11
0x61cf315e00e758913409dc7c339be3585b988716,AlphaWolf,16435,66,5
0x61d45f5475d90af0c3b3f3673beb18b43284dce7,YCCToken,72246,131,7
0x61e3a1e22faae1ea9f7f8618fd7b4a9bb3109376,TokenMintERC20Token,151924,73,10
0x62406995cafd18f57e7375e8e0060725acebce58,FirulaisWalletToken,629079,165,9
0x625f1ba41b943470a25eca25f636ada3b15c009f,OXDEAD,104240,55,9
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,54362,149,8
0x631c6b3332dcc35314faf56e81eea792ffcc3c2a,TokenMintERC20Token,481724,69,9
0x63da9708a4e9e793472cd5a4090f648f6764ffe3,TokenMintERC20Token,97084,86,8
0x6466165ef085c4b5bc9c978397b128a85d12c184,TokenMintERC20Token,130849,125,8
0x655622a4944eebb09db662bb04e7372de30684f6,TokenMintERC20Token,114143,61,8
0x669d810e04453d449326d1744cd7165fa0c6c362,SCLOUD,16223,66,5
0x66e1f73c0bd8fa9fdfb6c408ad16cc4d95ed9a53,onedayrug,60684,181,6
0x66e8643f1086b1b1cebe97567f70900a904b9f4c,TokenMintERC20Token,91334,72,8
0x6713ebfbba23fc364639fb4e29fad3ce98ae958c,WishOfADragon,17652,17,5
0x67383419c36c1bbd87d4ba3eeccfa5b90b0e9b75,TokenMintERC20Token,17388,17,5
0x6767615a97a8204298bbac44c57ef1a615eed244,CribnbERC20,1088725,327,10
0x6814ecf552997f29abf6041613fa9e0d83960fd1,TokenMintERC20Token,18870,21,5
0x68c5ecd3ccbe1346bfc6068409b7a5407384e79b,TokenMintERC20Token,111631,69,9
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,15816,21,4
0x695d93f8d758152258a5553a997b4e0470796e0c,TokenMintERC20Token,17942,17,5
0x6a137df19d3e987e3207e8c94387bece89d385f8,SACHS,55762,164,8
0x6aafc0d754a108b1988fcc7a278af5df8082915b,TokenMintERC20Token,14373,17,4
0x6f2a550259532f7429530dcb93d86269629e3f2a,CloudProtocol,317777,170,11
0x6f6dcca7938ae7a92ecd4510090b9fc987679846,FuckElonmusk,61638,164,9
0x6f95df342e9d336275b05b1d7a43459c26be1963,TokenMintERC20Token,136822,75,10
0x70665f330191abababc772f5e51ba1ecf61672ef,TokenMintERC20Token,83725,78,7
0x706cbdaf9fb714491cecf22f236fc5fa26ae590f,MonkeCoin,1223333,181,12
0x71ff17244fb9df0b5f937cc1ec361e2d3193fddb,TokenMintERC20Token,18941,17,4
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,17885,17,5
0x72f0c5d7fb01506543c2880e1a7f808e0a81febf,DogeFather,59528,176,7
0x7302429c53c54d15328e3e393d52d005e9759355,XINU,55957,75,6
0x73cea1d52eaae08f87178dfcbda80e29cb1333ef,NewCommunityERC,14313,17,4
0x74f74426f50476ee56265cd3beca8e9eb2f33d38,Starship,1189010,154,12
0x7631127e358517e3b15903bbcb0f50a45a4379db,SING,139069,170,10
0x766d4c9c1c7316e97968a36b7b01bf7fcda7feb6,KogiInuToken,64737,181,7
0x77d46a60ed0ef0cab6a057f85377d93c6c8ac59d,KAIDO,17558,17,5
0x77d9b125814024adc1a36faef43ed66e08ef6b5d,TokenMintERC20Token,14441,17,4
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,61008,73,7
0x78223d31298107f3e310b09797b07967832046a6,RoyalSmartFutureToken,94028,219,7
0x78689fd6ecd9c168b2ba69ff022ff70302f0bba7,BLOCKYDOGE,87596,182,9
