address,contract_name,time_taken,true_count,false_count,success
0xa17bfcd1f029a50ae701921811a7148515b5af2b,LUSH_DOC_v02,4264,0,327,false
0xa17bfcd1f029a50ae701921811a7148515b5af2b,LUSH_DOC_v02,157876,0,4860,false
0xa17bfcd1f029a50ae701921811a7148515b5af2b,LUSH_DOC_v02,209080,0,3101,false
0xa17bfcd1f029a50ae701921811a7148515b5af2b,LUSH_DOC_v02,214021,0,148,false
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,6798,21,186,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,7147,23,197,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,7261,23,199,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,300215,137,3902,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,338811,131,3910,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,372470,151,888,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,380224,152,70,true
0xcfa6ab49f69800b877070f231f22496249990cee,Brahma,11600,55,477,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,443293,196,1004,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,452496,197,66,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,319708,155,3918,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,391904,221,842,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,401748,221,86,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,7855,24,304,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,190726,172,2858,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,212433,175,390,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,218632,175,44,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,7253,23,199,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,4831,29,126,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,22039,67,444,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,26842,69,69,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,30317,69,8,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,4818,11,65,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,12412,27,64,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,16842,28,34,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,20173,28,2,true
0x43b0bc65935a59ec7d6ce15e6d3112691a8e1dd9,TokenMintERC20Token,10819,38,348,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,320397,139,3934,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,388786,186,817,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,398375,187,94,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,10398,21,150,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,28169,47,290,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,36623,49,88,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,43000,49,26,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,7779,39,293,true
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,6421,21,152,true
0x62406995cafd18f57e7375e8e0060725acebce58,FirulaisWalletToken,10310,38,327,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,249615,163,3416,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,277888,210,493,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,286331,211,90,true
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,122763,123,2152,true
