address,contract_name,time_taken,true_count,false_count,success
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,6819,21,186,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,7291,23,197,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,7105,23,199,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,308374,137,3902,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,342819,131,3910,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,378946,151,888,true
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,387001,152,70,true
0xcfa6ab49f69800b877070f231f22496249990cee,Brahma,11865,55,477,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,444654,196,1004,true
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,453826,197,66,true
0x642fab3778de79df3e0f9e21694c7d90e07f6ea3,AKAMARU,25173,627,195,false
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,311745,155,3918,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,380333,221,842,true
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,390035,221,86,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,7386,24,304,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,180972,172,2858,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,202047,175,390,true
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,208372,175,44,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,7233,23,199,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,4812,29,126,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,21936,67,444,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,26595,69,69,true
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,30256,69,8,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,4752,11,65,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,12000,27,64,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,16356,28,34,true
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,19720,28,2,true
0x43b0bc65935a59ec7d6ce15e6d3112691a8e1dd9,TokenMintERC20Token,10505,38,348,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,307098,139,3934,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,371451,186,817,true
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,381256,187,94,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,10285,21,150,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,28396,47,290,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,37019,49,88,true
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,43642,49,26,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,7577,39,293,true
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,6449,21,152,true
0x62406995cafd18f57e7375e8e0060725acebce58,FirulaisWalletToken,10392,38,327,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,240216,163,3416,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,268174,210,493,true
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,276593,211,90,true
0x727d9a1e65c62ca72173568828d4a06cdcb80fd6,SPACEJAM,32542,732,6,false
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,122157,123,2152,true
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,151706,140,481,true
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,159716,141,68,true
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,6035,39,238,true
0x727d9a1e65c62ca72173568828d4a06cdcb80fd6,SPACEJAM,111183,612,6,false
0x7d3081391168d9f6468c995d42a5a84541042c98,shark,4949,11,83,true
0x7d3081391168d9f6468c995d42a5a84541042c98,shark,13361,27,96,true
0x7d3081391168d9f6468c995d42a5a84541042c98,shark,17298,32,23,true
0x7d3081391168d9f6468c995d42a5a84541042c98,shark,20585,32,4,true
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,52468,99,1206,true
0x3fa18875876794040105ff06dd50662d8e4b3054,TokenMintERC20Token,6452,22,166,true
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,65006,103,260,true
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,70616,103,62,true
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,6696,39,263,true
0x3fa18875876794040105ff06dd50662d8e4b3054,TokenMintERC20Token,86603,84,1736,true
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,73981,131,1584,true
0x3fa18875876794040105ff06dd50662d8e4b3054,TokenMintERC20Token,106881,95,342,true
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,88214,153,252,true
0x3fa18875876794040105ff06dd50662d8e4b3054,TokenMintERC20Token,112396,95,36,true
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,93395,153,30,true
0xd1d53b74edd8d13d8393c4d3474a5d5befeef9c5,OuroSwapToken,7040,39,275,true
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,6721,39,267,true
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,82200,125,1746,true
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,98387,144,347,true
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,105446,144,76,true
0xad6db2bccf9e929c0857c545ec84360faee61f0a,TokenMintERC20Token,6845,23,181,true
0xd1d53b74edd8d13d8393c4d3474a5d5befeef9c5,OuroSwapToken,224026,167,3372,true
0xd1d53b74edd8d13d8393c4d3474a5d5befeef9c5,OuroSwapToken,268914,225,634,true
0xd1d53b74edd8d13d8393c4d3474a5d5befeef9c5,OuroSwapToken,275886,225,48,true
0x28e57c27368d1475a3ce49a25c48c40b85e7f7e1,TetherUS,6623,39,252,true
0x28e57c27368d1475a3ce49a25c48c40b85e7f7e1,TetherUS,43101,107,990,true
0x28e57c27368d1475a3ce49a25c48c40b85e7f7e1,TetherUS,53655,108,222,true
0x28e57c27368d1475a3ce49a25c48c40b85e7f7e1,TetherUS,58113,108,24,true
0x8de4644406933728ac9df5bc648d1482fb628406,TokenMintERC20Token,6002,21,138,true
0xbc08617c95215f3d397317d501a02505132d5a3c,TokenMintERC20Token,4762,11,65,true
0xbc08617c95215f3d397317d501a02505132d5a3c,TokenMintERC20Token,12041,27,64,true
0xbc08617c95215f3d397317d501a02505132d5a3c,TokenMintERC20Token,16051,30,29,true
0xbc08617c95215f3d397317d501a02505132d5a3c,TokenMintERC20Token,19402,30,2,true
0x99dcdd2804ccd1f76f0fa0d28c2a1a271b269d97,TokenMintERC20Token,6777,23,177,true
0xad6db2bccf9e929c0857c545ec84360faee61f0a,TokenMintERC20Token,310471,135,3906,true
0xdc94594af43d1b3644030f0e1d445e3af380c3ea,CHIMERA,6424,23,165,true
0x8de4644406933728ac9df5bc648d1482fb628406,TokenMintERC20Token,137433,101,2394,true
0xad6db2bccf9e929c0857c545ec84360faee61f0a,TokenMintERC20Token,368733,161,757,true
0x99dcdd2804ccd1f76f0fa0d28c2a1a271b269d97,TokenMintERC20Token,104232,111,1948,true
0xad6db2bccf9e929c0857c545ec84360faee61f0a,TokenMintERC20Token,377286,162,80,true
0x156a5ed5066de9bf08eff6e129ed649dc7728b84,TokenMintERC20Token,4708,11,65,true
0x156a5ed5066de9bf08eff6e129ed649dc7728b84,TokenMintERC20Token,12137,27,64,true
0x156a5ed5066de9bf08eff6e129ed649dc7728b84,TokenMintERC20Token,16540,30,29,true
0x156a5ed5066de9bf08eff6e129ed649dc7728b84,TokenMintERC20Token,19755,30,2,true
0x8de4644406933728ac9df5bc648d1482fb628406,TokenMintERC20Token,175347,157,531,true
0x99dcdd2804ccd1f76f0fa0d28c2a1a271b269d97,TokenMintERC20Token,135514,116,476,true
0xfb36cd4519f246bdabefaa940df399a2ac636289,CodeWithJoe,4662,29,110,true
0x99dcdd2804ccd1f76f0fa0d28c2a1a271b269d97,TokenMintERC20Token,141824,117,40,true
0x8de4644406933728ac9df5bc648d1482fb628406,TokenMintERC20Token,183743,158,72,true
0xfb36cd4519f246bdabefaa940df399a2ac636289,CodeWithJoe,14912,53,176,true
0x404ae50fcd850249102581df74913f3134247656,FFLOKI,4877,11,70,true
0xfb36cd4519f246bdabefaa940df399a2ac636289,CodeWithJoe,18769,53,48,true
0xfb36cd4519f246bdabefaa940df399a2ac636289,CodeWithJoe,21808,53,8,true
0x404ae50fcd850249102581df74913f3134247656,FFLOKI,11159,13,22,true
0x404ae50fcd850249102581df74913f3134247656,FFLOKI,14482,13,11,true
0xad0d2a577d2f77952e23a8f26da7386c5915b8f9,TokenMintERC20Token,5143,11,83,true
0xeb0667a016d71a16dd8a949878c1fceda5af0305,AlphaProtocol,4969,11,83,true
0xad0d2a577d2f77952e23a8f26da7386c5915b8f9,TokenMintERC20Token,13369,27,96,true
0xad0d2a577d2f77952e23a8f26da7386c5915b8f9,TokenMintERC20Token,17465,30,33,true
0xeb0667a016d71a16dd8a949878c1fceda5af0305,AlphaProtocol,13268,27,96,true
0xad0d2a577d2f77952e23a8f26da7386c5915b8f9,TokenMintERC20Token,20872,30,4,true
0xeb0667a016d71a16dd8a949878c1fceda5af0305,AlphaProtocol,17334,32,23,true
0xeb0667a016d71a16dd8a949878c1fceda5af0305,AlphaProtocol,20940,32,4,true
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,4471,11,52,true
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,10495,13,10,true
0xbde21e032501c1274db7dcf4827d1479dbbd395a,wath,6813,23,199,true
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,13738,14,10,true
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,17214,15,2,true
0x9dc12f5a04cb72daedd547bb89bc6040ffe2bf52,INU,4666,9,70,true
0x9dc12f5a04cb72daedd547bb89bc6040ffe2bf52,INU,12154,25,64,true
0x9dc12f5a04cb72daedd547bb89bc6040ffe2bf52,INU,16457,26,34,true
0x9dc12f5a04cb72daedd547bb89bc6040ffe2bf52,INU,19672,26,2,true
0xe8108761c6330054abc47cab35b94a3d3db98f6c,CR7,6575,23,181,true
0xdc94594af43d1b3644030f0e1d445e3af380c3ea,CHIMERA,273766,161,3750,true
0xdc94594af43d1b3644030f0e1d445e3af380c3ea,CHIMERA,314726,170,607,true
0xdc94594af43d1b3644030f0e1d445e3af380c3ea,CHIMERA,323703,171,88,true
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,6750,23,171,true
0xbde21e032501c1274db7dcf4827d1479dbbd395a,wath,320435,151,3922,true
0xe8108761c6330054abc47cab35b94a3d3db98f6c,CR7,287026,151,3890,true
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,161502,103,2590,true
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,203696,162,579,true
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,212433,162,80,true
0xe8108761c6330054abc47cab35b94a3d3db98f6c,CR7,368701,163,999,true
0x419cef153e8a6086df494e7832c18fd82a738efc,TSUKASHIBA,6822,23,180,true
0xe8108761c6330054abc47cab35b94a3d3db98f6c,CR7,377514,163,80,true
0x3f807ddd3b97ec2455099bc58ec3e072e03184aa,AstroChimp,4964,13,68,true
0x3f807ddd3b97ec2455099bc58ec3e072e03184aa,AstroChimp,11193,15,22,true
0x3f807ddd3b97ec2455099bc58ec3e072e03184aa,AstroChimp,14421,15,11,true
0xbde21e032501c1274db7dcf4827d1479dbbd395a,wath,433934,189,1096,true
0x1ae57395aafc2e9c4172ba7289631b69817e6567,Rawr_Inu,5082,10,127,true
