address,contract_name,time_taken,true_count,false_count,success
0xf484d756be7d26bd2b17531c06acab253b6b3615,TokenMintERC20Token,4090,11,68,true
0xf484d756be7d26bd2b17531c06acab253b6b3615,TokenMintERC20Token,10731,29,62,true
0xf484d756be7d26bd2b17531c06acab253b6b3615,TokenMintERC20Token,14757,29,37,true
0xf484d756be7d26bd2b17531c06acab253b6b3615,TokenMintERC20Token,17694,29,2,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,6823,31,257,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,339501,255,5318,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,409567,290,1114,true
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,422317,290,156,true
0x2f462eb6fc401841ab1d26fb6a580e90ed8ab3a7,AudioInu,3814,11,50,true
0x2f462eb6fc401841ab1d26fb6a580e90ed8ab3a7,AudioInu,10591,29,62,true
0x2f462eb6fc401841ab1d26fb6a580e90ed8ab3a7,AudioInu,14085,32,17,true
0x2f462eb6fc401841ab1d26fb6a580e90ed8ab3a7,AudioInu,17122,32,4,true
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO,5613,23,181,true
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO,205017,143,3898,true
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO,250230,169,770,true
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO,258545,170,92,true
