address,chain,network,timestamp,library,contract_name,proxy,implementation,compiler_version
0x568a1f8554edcea5cb5f94e463ac69a9c49c0a2d,ethereum,mainnet,2021-08-15 07:38:11.000000,,Cats,0,,0.5.0
0x77dfdda69e9491c7c8d78a9e2413562b32aef2ff,ethereum,mainnet,2021-07-03 22:08:32.000000,,Nft,0,,0.5.0
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,ethereum,mainnet,2021-12-17 08:21:23.000000,,DotComSeance,0,,0.5.0
0xb7ec7bbd2d2193b47027247fc666fb342d23c4b5,ethereum,mainnet,2022-01-23 06:58:41.000000,,mirageCurated,0,,0.5.0
0x54994ba4b4a42297b3b88e27185cde1f51dca288,ethereum,mainnet,2021-11-12 07:02:07.000000,,NFT721,0,,0.5.0
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,ethereum,mainnet,2021-06-02 22:07:29.000000,,EXODUS2,0,,0.5.0
0xdce09254dd3592381b6a5b7a848b29890b656e01,ethereum,mainnet,2021-02-15 10:34:35.000000,,Folia,0,,0.5.0
0x61d31d57476c1acf6a81c6eacc3644735a704eb9,ethereum,mainnet,2021-02-27 06:32:13.000000,,Digiscoop,0,,0.5.0
0xd5500f15abdab81f4ede3a30a215964a4068a4b7,ethereum,mainnet,2021-07-09 19:29:30.000000,,Colexion,0,,0.5.0
0xc50161e1f4015a4f4b91cf98b996b7001ceaccf0,ethereum,mainnet,2022-04-26 20:48:34.000000,,Decomposer,0,,0.5.0
0x3de3fd7ed77099e16c720bdfeb339473227da44d,ethereum,mainnet,2021-07-18 11:18:36.000000,,Ninja,0,,0.5.0
0x6e6f3ebae77b2d9c78d4be9cf14ac7404b35861a,ethereum,mainnet,2021-07-13 15:59:44.000000,,NFTImplementation,0,,0.5.1
0x342a243d5a42eb87b6e7c8d0d3f6a36fc6c36b13,ethereum,mainnet,2020-05-28 19:22:43.000000,,Color,0,,0.5.0
0x0691b67075754952f39232c5e58a2f0b490f9234,ethereum,mainnet,2020-01-17 14:44:59.000000,,PunkPrintRegistry,0,,0.5.0
0x09d4fc517c7ee9354aca81a80a13126179957b90,ethereum,mainnet,2020-08-23 10:02:32.000000,,GGDAsset,0,,0.5.0
0x0ed252377824f837765606d44e130f7562dc149c,ethereum,mainnet,2020-02-12 02:53:12.000000,,AvastarPrintRegistry,0,,0.5.0
0x395e5461693e0bb5ec78302605030050f69e628d,ethereum,mainnet,2020-03-01 22:56:42.000000,,EtherLegendsToken,0,,0.5.0
0x6f66d49b2314e89731e701dcc8c58b4eb2dfc685,ethereum,mainnet,2020-10-01 03:49:49.000000,,ECGems,0,,0.5.0
0x8310b27838ef90c88da223b25b631248157cb8c6,ethereum,mainnet,2020-03-14 05:14:39.000000,,SUPRPrintRegistry,0,,0.5.0
0x4e5377b725fbb319c1e0ccd06b382772839ababa,ethereum,mainnet,2020-06-10 17:03:27.000000,,FFFVehicle_All,0,,0.5.0
0x4f80965f1e5c19669e62aa3537dea5f5a0fa7f1c,ethereum,mainnet,2020-04-17 16:15:42.000000,,KryptonStarCard,0,,0.5.1
0x2a378c8d96e7d994fb9bec6adb7c6af2fe772c3b,ethereum,mainnet,2020-09-23 19:42:32.000000,,ERC721FullMock,0,,0.5.1
0xf980759616a795b2d692a5c0a0f1bad651984bc1,ethereum,mainnet,2020-10-26 20:23:52.000000,,SomniumSpaceWorld,0,,0.5.1
