address,chain,network,timestamp,library,contract_name,proxy,implementation,compiler_version
0x76e422de0ce8842ebe837bc7ab6984b4fff88055,ethereum,mainnet,2021-06-02 22:07:29.000000,,EXODUS2,0,,0.5.0
0x6ca044fb1cd505c1db4ef7332e73a236ad6cb71c,ethereum,mainnet,2021-12-17 08:21:23.000000,,DotComSeance,0,,0.5.0
0xb7ec7bbd2d2193b47027247fc666fb342d23c4b5,ethereum,mainnet,2022-01-23 06:58:41.000000,,mirageCurated,0,,0.5.0
0xdce09254dd3592381b6a5b7a848b29890b656e01,ethereum,mainnet,2021-02-15 10:34:35.000000,,Folia,0,,0.5.0
0x61d31d57476c1acf6a81c6eacc3644735a704eb9,ethereum,mainnet,2021-02-27 06:32:13.000000,,Digiscoop,0,,0.5.0
0x54994ba4b4a42297b3b88e27185cde1f51dca288,ethereum,mainnet,2021-11-12 07:02:07.000000,,NFT721,0,,0.5.0
0xc50161e1f4015a4f4b91cf98b996b7001ceaccf0,ethereum,mainnet,2022-04-26 20:48:34.000000,,Decomposer,0,,0.5.0
0x3de3fd7ed77099e16c720bdfeb339473227da44d,ethereum,mainnet,2021-07-18 11:18:36.000000,,Ninja,0,,0.5.0
0x6e6f3ebae77b2d9c78d4be9cf14ac7404b35861a,ethereum,mainnet,2021-07-13 15:59:44.000000,,NFTImplementation,0,,0.5.1
0xd5500f15abdab81f4ede3a30a215964a4068a4b7,ethereum,mainnet,2021-07-09 19:29:30.000000,,Colexion,0,,0.5.0
0x568a1f8554edcea5cb5f94e463ac69a9c49c0a2d,ethereum,mainnet,2021-08-15 07:38:11.000000,,Cats,0,,0.5.0
0x77dfdda69e9491c7c8d78a9e2413562b32aef2ff,ethereum,mainnet,2021-07-03 22:08:32.000000,,Nft,0,,0.5.0
